etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
301,3,???? ?????? ????????? ????????? ?????????? ?????,Faculté des Sciences Mathématiques Physiques et Naturelles de Tunis,www.fst.rnu.tn,Tunis,Public,36.83384765120928, 10.14787118803233
310,3,?????? ???????? ???????? ???????? ???????,Institut Préparatoire aux Etudes d'Ingénieurs d'El Manar,www.ipeiem.rnu.tn,Tunis,Public,36.82935051509854, 10.142825625298432
305,3,?????? ?????? ?????? ?????????? ????????? ?????,Institut Supérieur des Sciences Biologiques Appliquées de Tunis,www.issbat.rnu.tn,Tunis,Public,36.802340914490834, 10.160075858019056
306,3,?????? ?????? ?????? ????????? ?????,Institut Supérieur des Sciences Humaines de Tunis,www.issht.rnu.tn,Tunis,Public,36.79980656829746, 10.161348650868986
309,3,?????? ?????? ????? ??????? ?????,Institut Supérieur des Sciences Infirmiéres de Tunis,www.issit.tn,Tunis,Public,36.800663883835234, 10.155883785210797
307,3,?????? ?????? ???????????? ?????? ?????,Institut Supérieur des Technologies Médicales de Tunis,www.istmt.rnu.tn,Tunis,Public,36.80096122710459, 10.160546557537437
308,3,?????? ?????? ????????? ??????,Institut Supérieur d'Informatique,isi.rnu.tn,Ariana,Public,36.86165576270831, 10.188740967219918
102,1,?????? ?????? ??????? ?????????,Institut Supérieur de la Civilisation Islamique de Tunis,www.isci.rnu.tn,Tunis,Public,36.792622796556905, 10.164634157020718
101,1,?????? ?????? ????? ?????,Institut Supérieur de Théologie de Tunis,www.isth.rnu.tn,Tunis,Public,36.79360062847284, 10.164656693984291
103,1,?????? ?????? ??????? ???????? ?????? ?????????,Institut Supérieur des Sciences Islamiques de Kairouan,,Kairouan,Public,35.650584086311696, 10.084753284045048
1502,15,?????? ?????? ??????? ? ??????? ???????,Institut Supérieur de l'Education et de la Formation Continue,www.isefc.rnu.tn,Tunis,Public,36.80514135490817, 10.150274616796485
1501,15,??????? ??????????,Université Virtuelle,uvt.rnu.tn,Tunis,Public,36.81752054394514, 10.185049199791287
